barcode,building,,coordinate_1_label,coordinate_2_indicator,coordinate_1_indicator,coordinate_2_label,coordinate_2_indicator,coordinate_3_label,coordinate_3_indicator,dimensions (width x height x depth,repo_uri,,,,,,,
/locations/2121,82905,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 3, Section: b, Shelf: 1]",SML,B57-B,Range,3,Section,,Shelf,1,6/1/15 15:50,admin,10/31/18 15:52,amd243,
/locations/2122,82911,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 3, Section: b, Shelf: 2]",SML,B57-B,Range,3,Section,,Shelf,2,6/1/15 15:50,admin,10/31/18 15:57,amd243,
/locations/2123,82917,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 3, Section: b, Shelf: 3]",SML,B57-B,Range,3,Section,,Shelf,3,6/1/15 15:50,admin,10/31/18 16:02,amd243,
/locations/2124,82923,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 3, Section: b, Shelf: 4]",SML,B57-B,Range,3,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:09,amd243,
/locations/2125,82929,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 3, Section: b, Shelf: 5]",SML,B57-B,Range,3,Section,,Shelf,5,6/1/15 15:50,admin,10/31/18 16:14,amd243,
/locations/2126,82935,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 3, Section: b, Shelf: 6]",SML,B57-B,Range,3,Section,,Shelf,6,6/1/15 15:50,admin,10/31/18 16:19,amd243,
/locations/2127,82880,/location_profiles/28,/repositories/12,C,"SML, B57-B [Range: 3, Section: c, Shelf: 1]",SML,B57-B,Range,3,Section,,Shelf,1,6/1/15 15:50,admin,10/31/18 15:52,amd243,
/locations/2128,82886,/location_profiles/28,/repositories/12,C,"SML, B57-B [Range: 3, Section: c, Shelf: 2]",SML,B57-B,Range,3,Section,,Shelf,2,6/1/15 15:50,admin,10/31/18 15:57,amd243,
/locations/2129,82892,/location_profiles/28,/repositories/12,C,"SML, B57-B [Range: 3, Section: c, Shelf: 3]",SML,B57-B,Range,3,Section,,Shelf,3,6/1/15 15:50,admin,10/31/18 16:02,amd243,
/locations/2130,82898,/location_profiles/28,/repositories/12,C,"SML, B57-B [Range: 3, Section: c, Shelf: 4]",SML,B57-B,Range,3,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:09,amd243,
/locations/2131,82904,/location_profiles/28,/repositories/12,C,"SML, B57-B [Range: 3, Section: c, Shelf: 5]",SML,B57-B,Range,3,Section,,Shelf,5,6/1/15 15:50,admin,10/31/18 16:14,amd243,
/locations/2132,82910,/location_profiles/28,/repositories/12,C,"SML, B57-B [Range: 3, Section: c, Shelf: 6]",SML,B57-B,Range,3,Section,,Shelf,6,6/1/15 15:50,admin,10/31/18 16:19,amd243,
/locations/2133,82922,/location_profiles/28,/repositories/12,D,"SML, B57-B [Range: 3, Section: d, Shelf: 1]",SML,B57-B,Range,3,Section,,Shelf,1,6/1/15 15:50,admin,10/31/18 15:52,amd243,
/locations/2134,82928,/location_profiles/28,/repositories/12,D,"SML, B57-B [Range: 3, Section: d, Shelf: 2]",SML,B57-B,Range,3,Section,,Shelf,2,6/1/15 15:50,admin,10/31/18 15:57,amd243,
/locations/2135,82934,/location_profiles/28,/repositories/12,D,"SML, B57-B [Range: 3, Section: d, Shelf: 3]",SML,B57-B,Range,3,Section,,Shelf,3,6/1/15 15:50,admin,10/31/18 16:02,amd243,
/locations/2136,82940,/location_profiles/28,/repositories/12,D,"SML, B57-B [Range: 3, Section: d, Shelf: 4]",SML,B57-B,Range,3,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:09,amd243,
/locations/2137,82879,/location_profiles/28,/repositories/12,D,"SML, B57-B [Range: 3, Section: d, Shelf: 5]",SML,B57-B,Range,3,Section,,Shelf,5,6/1/15 15:50,admin,10/31/18 16:14,amd243,
/locations/2138,82885,/location_profiles/28,/repositories/12,D,"SML, B57-B [Range: 3, Section: d, Shelf: 6]",SML,B57-B,Range,3,Section,,Shelf,6,6/1/15 15:50,admin,10/31/18 16:19,amd243,
