location_uri,barcode,title,room,coordinate_1_indicator,tc_uri,indicator,barcode
/locations/1781,NULL,"SML, B70 [Range: 9, Section: k, Shelf: 2]",B70,9,NULL,NULL,NULL
/locations/1782,NULL,"SML, B70 [Range: 9, Section: k, Shelf: 3]",B70,9,NULL,NULL,NULL
/locations/1783,NULL,"SML, B70 [Range: 9, Section: k, Shelf: 4]",B70,9,NULL,NULL,NULL
/locations/1784,NULL,"SML, B70 [Range: 9, Section: k, Shelf: 5]",B70,9,NULL,NULL,NULL
/locations/1785,NULL,"SML, B70 [Range: 9, Section: k, Shelf: 6]",B70,9,NULL,NULL,NULL
/locations/1786,NULL,"SML, B70 [Range: 9, Section: k, Shelf: 7]",B70,9,NULL,NULL,NULL
/locations/3033,NULL,"SML, B70 [Map Print Carton:  9]",B70,9,NULL,NULL,NULL
/locations/1377,NULL,"SML, B70 [Range: 10, Section: h, Shelf: 1]",B70,10,NULL,NULL,NULL
/locations/1384,NULL,"SML, B70 [Range: 10, Section: i, Shelf: 1]",B70,10,NULL,NULL,NULL
/locations/1391,NULL,"SML, B70 [Range: 10, Section: j, Shelf: 1]",B70,10,NULL,NULL,NULL
/locations/1398,NULL,"SML, B70 [Range: 10, Section: k, Shelf: 1]",B70,10,NULL,NULL,NULL
/locations/3034,NULL,"SML, B70 [Map Print Carton:  10]",B70,10,NULL,NULL,NULL
/locations/1419,NULL,"SML, B70 [Range: 11, Section: c, Shelf: 1]",B70,11,NULL,NULL,NULL
/locations/3041,NULL,"SML, B70 [Map Print Carton: 11]",B70,11,NULL,NULL,NULL
/locations/3042,NULL,"SML, B70 [Map Print Carton: 12]",B70,12,NULL,NULL,NULL
/locations/3043,NULL,"SML, B70 [Map Print Carton: 13]",B70,13,NULL,NULL,NULL
/locations/3044,NULL,"SML, B70 [Map Print Carton: 14]",B70,14,NULL,NULL,NULL
/locations/1682,NULL,"SML, B70 [Range: 15, Section: a, Shelf: 7]",B70,15,NULL,NULL,NULL
/locations/1689,NULL,"SML, B70 [Range: 15, Section: b, Shelf: 7]",B70,15,NULL,NULL,NULL
/locations/1696,NULL,"SML, B70 [Range: 15, Section: c, Shelf: 7]",B70,15,NULL,NULL,NULL
/locations/1703,NULL,"SML, B70 [Range: 15, Section: d, Shelf: 7]",B70,15,NULL,NULL,NULL
/locations/1710,NULL,"SML, B70 [Range: 15, Section: f, Shelf: 7]",B70,15,NULL,NULL,NULL
